Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C7","0.1uF","C_0402_1005Metric",-50.400000,-88.620000,90.000000,bottom
"C8","2.2uF","C_0402_1005Metric",-48.970000,-92.750000,180.000000,bottom
"C9","10uF","C_0402_1005Metric",-46.880000,-86.050000,180.000000,bottom
"C11","0.1uF","C_0402_1005Metric",-69.690000,-99.110000,180.000000,bottom
"C14","2.2uF","C_0402_1005Metric",-69.220000,-97.600000,90.000000,bottom
"C15","10uF","C_0402_1005Metric",-65.210000,-94.210000,0.000000,bottom
"U2","DRV8833PW","TSSOP-16_4.4x5mm_P0.65mm",-45.990000,-89.430000,0.000000,bottom
"U4","DRV8833PW","TSSOP-16_4.4x5mm_P0.65mm",-65.680000,-98.580000,90.000000,bottom
"C1","1uF","C_0402_1005Metric",47.580000,-92.490000,150.000000,top
"C2","12pF","C_0402_1005Metric",65.880000,-97.130000,-30.000000,top
"C3","1uF","C_0402_1005Metric",51.720000,-100.830000,150.000000,top
"C4","12pF","C_0402_1005Metric",63.100000,-101.930000,150.000000,top
"C5","0.1uF","C_0402_1005Metric",50.800000,-87.460000,-120.000000,top
"C6","0.1uF","C_0402_1005Metric",49.660000,-86.770000,-120.000000,top
"C10","0.1uF","C_0402_1005Metric",46.110000,-95.050000,180.000000,top
"D1","LED","LED_0402_1005Metric",48.590000,-90.270000,0.000000,top
"J1","Conn_01x05_Female","PinHeader_1x05_P1.27mm_Vertical",66.730000,-92.490000,60.000000,top
"J3","Conn_01x06_Male","PinHeader_1x06_P1.27mm_Vertical",40.800000,-94.035000,180.000000,top
"J4","Conn_01x06_Male","PinHeader_1x06_P1.27mm_Vertical",58.705000,-104.110000,-90.000000,top
"J7","Conn_01x06_Male","PinHeader_1x06_P1.27mm_Vertical",45.660369,-80.422500,60.000000,top
"J8","Conn_01x06_Male","PinHeader_1x06_P1.27mm_Vertical",66.085000,-104.290000,90.000000,top
"R1","22","R_0402_1005Metric",48.730000,-100.240000,0.000000,top
"R2","22","R_0402_1005Metric",48.730000,-101.360000,0.000000,top
"R3","220","R_0402_1005Metric",46.470000,-90.270000,180.000000,top
"SW1","SW_Push","SW_SPST_EVPBF",76.340000,-100.200000,150.000000,top
"U1","ATmega32U4-A","TQFP-44_10x10mm_P0.8mm",55.750000,-94.430000,60.000000,top
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12",38.865000,-100.740000,-90.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",64.150000,-99.360000,-120.000000,top
