Comment,Designator,Footprint,LCSC
"1uF","C1,C3","Capacitor_SMD:C_0402_1005Metric","C106254"
"12pF","C2,C4","Capacitor_SMD:C_0402_1005Metric","C106201"
"0.1uF","C5,C6,C7,C11","Capacitor_SMD:C_0402_1005Metric","C141382"
"2.2uF","C8,C14","Capacitor_SMD:C_0402_1005Metric","C76594"
"10uF","C9,C15","Capacitor_SMD:C_0402_1005Metric","C87148"
"LED","D1","LED_SMD:LED_0402_1005Metric","C273598"
"MountingHole_Pad","H1,H2","MountingHole:MountingHole_2.2mm_M2_DIN965_Pad",""
"Conn_01x05_Female","J1","Connector_PinHeader_1.27mm:PinHeader_1x05_P1.27mm_Vertical",""
"Conn_01x06_Male","J3,J4,J7,J8","Connector_PinHeader_1.27mm:PinHeader_1x06_P1.27mm_Vertical",""
"22","R1,R2","Resistor_SMD:R_0402_1005Metric","C881322"
"220","R3","Resistor_SMD:R_0402_1005Metric","C881401"
"SW_Push","SW1","Button_Switch_SMD:SW_SPST_EVPBF",""
"ATmega32U4-A","U1","Package_QFP:TQFP-44_10x10mm_P0.8mm","C112161"
"DRV8833PW","U2,U4","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","C50506"
"HRO-TYPE-C-31-M-12","USB1","Type-C:HRO-TYPE-C-31-M-12","C165948"
"Crystal_GND24","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C253723"
